short_code,name,market_category,asset_category,default,stock_options,bond_option1,bond_option2,bond_option3,bond_option4,bond_option5,bond_option6,bond_option7,industry_1,industry_2,industry_3,industry_4,risk_level,manager
310960,TIGER 200TR,국내,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
227550,TIGER 200 산업재,국내,주식,,,,,,,,,,산업재,,,,2,미래에셋자산운용
227560,TIGER 200 생활소비재,국내,주식,,,,,,,,,,소비재,,,,2,미래에셋자산운용
102110,TIGER 200,국내,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
252000,TIGER 200동일가중,국내,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
315270,TIGER 200커뮤니케이션서비스,국내,주식,,,,,,,,,,플랫폼,,,,2,미래에셋자산운용
289480,TIGER 200커버드콜ATM,국내,주식,,커버드콜,,,,,,,,,,,,3,미래에셋자산운용
227540,TIGER 200 헬스케어,국내,주식,,,,,,,,,,헬스케어,,,,2,미래에셋자산운용
470260,TIGER 24-12 금융채(AA-이상),국내,채권,,,금융채,,,,,,,,,,,5,미래에셋자산운용
453540,TIGER 25-10 회사채(A+이상)액티브,국내,채권,,,회사채,금융채,,,,,,,,,,5,미래에셋자산운용
480260,TIGER 27-04회사채(A+이상)액티브,국내,채권,,,회사채,금융채,,,,,,,,,,5,미래에셋자산운용
364980,TIGER 2차전지TOP10,국내,주식,,,,,,,,,,2차전지,,,,1,미래에셋자산운용
462010,TIGER 2차전지소재Fn,국내,주식,,,,,,,,,,2차전지,소재,,,2,미래에셋자산운용
305540,TIGER 2차전지테마,국내,주식,,,,,,,,,,2차전지,,,,1,미래에셋자산운용
471760,TIGER AI반도체핵심공정,국내,주식,,,,,,,,,,AI,반도체,,,2,미래에셋자산운용
365040,TIGER AI코리아그로스액티브,국내,주식,,,,,,,,,,AI,,,,2,미래에셋자산운용
364960,TIGER BBIG,국내,주식,,,,,,,,,,바이오,2차전지,플랫폼,게임,2,미래에셋자산운용
475630,TIGER CD1년금리액티브(합성),국내,기타,,,,,,,,,,,,,,4,미래에셋자산운용
357870,TIGER CD금리투자KIS(합성),국내,기타,,,,,,,,,,,,,,6,미래에셋자산운용
400970,TIGER Fn메타버스,국내,주식,,,,,,,,,,메타버스,,,,2,미래에셋자산운용
396500,TIGER Fn반도체TOP10,국내,주식,,,,,,,,,,반도체,,,,2,미래에셋자산운용
377990,TIGER Fn신재생에너지,국내,주식,,,,,,,,,,친환경,,,,2,미래에셋자산운용
417630,TIGER KEDI혁신기업ESG30,국내,주식,,,,,,,,,,ESG,,,,2,미래에셋자산운용
292160,TIGER KRX300,국내,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
404540,TIGER KRX기후변화솔루션,국내,주식,,,,,,,,,,친환경,,,,2,미래에셋자산운용
300610,TIGER K게임,국내,주식,,,,,,,,,,게임,,,,1,미래에셋자산운용
445910,TIGER MKF배당귀족,국내,주식,,배당주,,,,,,,,,,,,2,미래에셋자산운용
289260,TIGER MSCI KOREA ESG리더스,국내,주식,,,,,,,,,,ESG,,,,2,미래에셋자산운용
289250,TIGER MSCI KOREA ESG유니버설,국내,주식,,,,,,,,,,ESG,,,,2,미래에셋자산운용
310970,TIGER MSCI Korea TR,국내,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
269370,TIGER S&P글로벌인프라(합성),해외,주식,,,,,,,,,,인프라,,,,3,미래에셋자산운용
292150,TIGER TOP10,국내,주식,,,,,,,,,,,,,,2,미래에셋자산운용
453950,TIGER TSMC밸류체인FACTSET,해외,주식,,,,,,,,,,반도체,,,,2,미래에셋자산운용
364990,TIGER 게임TOP10,국내,주식,,,,,,,,,,게임,,,,1,미래에셋자산운용
139280,TIGER 경기방어,국내,주식,,,,,,,,,,소비재,,,,3,미래에셋자산운용
237440,TIGER 경기방어채권혼합,국내,혼합자산,,,,,,,,,,소비재,국채,,,4,미래에셋자산운용
160580,TIGER 구리실물,해외,원자재,,,,,,,,,,,,,,2,미래에셋자산운용
114820,TIGER 국채3년,국내,채권,,,국채,,,,,,,,,,,5,미래에셋자산운용
464310,TIGER 글로벌AI&로보틱스 INDXX,해외,주식,,,,,,,,,,AI,로봇,,,2,미래에셋자산운용
466950,TIGER 글로벌AI액티브,해외,주식,,,,,,,,,,AI,,,,2,미래에셋자산운용
387270,TIGER 글로벌이노베이션액티브,해외,주식,,,,,,,,,,AI,,,,2,미래에셋자산운용
440340,TIGER 글로벌멀티에셋TIF액티브,해외,혼합자산,,,,,,,,,,회사채,국채,,,3,미래에셋자산운용
412770,TIGER 글로벌메타버스액티브,해외,주식,,,,,,,,,,메타버스,,,,2,미래에셋자산운용
476690,TIGER 글로벌비만치료제TOP2Plus,해외,주식,,,,,,,,,,헬스케어,,,,2,미래에셋자산운용
418670,TIGER 글로벌사이버보안INDXX,해외,주식,,,,,,,,,,보안,,,,2,미래에셋자산운용
480310,TIGER 글로벌온디바이스AI,해외,주식,,,,,,,,,,AI,,,,2,미래에셋자산운용
371450,TIGER 글로벌클라우드컴퓨팅INDXX,해외,주식,,,,,,,,,,IT,,,,1,미래에셋자산운용
248270,TIGER S&P글로벌헬스케어(합성),해외,주식,,,,,,,,,,헬스케어,,,,3,미래에셋자산운용
464930,TIGER 글로벌혁신블루칩TOP10,해외,주식,,,,,,,,,,,,,,2,미래에셋자산운용
272580,TIGER 단기채권액티브,국내,채권,,,국채,특수채,산금채,중금채,은행채,회사채,,,,,,6,미래에셋자산운용
157450,TIGER 단기통안채,국내,채권,,,통안채,,,,,,,,,,,6,미래에셋자산운용
341850,TIGER 리츠부동산인프라채권TR KIS,국내,혼합자산,,,,,,,,,,인프라,국채,,,4,미래에셋자산운용
329200,TIGER 리츠부동산인프라,국내,부동산,,,,,,,,,,인프라,,,,3,미래에셋자산운용
147970,TIGER 모멘텀,국내,주식,,,,,,,,,,모멘텀,,,,2,미래에셋자산운용
458250,TIGER 미국30년국채스트립액티브(합성 H),해외,채권,,환헷지,국채,,,,,,,,,,,2,미래에셋자산운용
476550,TIGER 미국30년국채커버드콜액티브(H),해외,채권,,커버드콜,국채,,,,,,,,,,,4,미래에셋자산운용
482730,TIGER 미국S&P500타겟데일리커버드콜,해외,주식,,커버드콜,,,,,,,,,,,,2,미래에셋자산운용
448290,TIGER 미국S&P500TR(H),해외,주식,대표지수,환헷지,,,,,,,,,,,,2,미래에셋자산운용
488500,TIGER 미국S&P500동일가중,해외,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
429000,TIGER 미국S&P500배당귀족,해외,주식,,배당주,,,,,,,,,,,,2,미래에셋자산운용
360750,TIGER 미국S&P500,해외,주식,대표지수,,,,,,,,,,,,,3,미래에셋자산운용
486290,TIGER 미국나스닥100타겟데일리커버드콜,해외,주식,,커버드콜,,,,,,,,,,,,2,미래에셋자산운용
435420,TIGER 미국나스닥100TR채권혼합Fn,국내&해외,혼합자산,,,국채,,,,,,,,,,,4,미래에셋자산운용
448300,TIGER 미국나스닥100TR(H),해외,주식,대표지수,환헷지,,,,,,,,,,,,2,미래에셋자산운용
133690,TIGER 미국나스닥100,해외,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
441680,TIGER 미국나스닥100커버드콜(합성),해외,주식,,커버드콜,,,,,,,,,,,,2,미래에셋자산운용
429010,TIGER 미국나스닥넥스트100,해외,주식,대표지수,,,,,,,,,,,,,2,미래에셋자산운용
245340,TIGER 미국다우존스30,해외,주식,대표지수,,,,,,,,,,,,,3,미래에셋자산운용
456610,TIGER 미국달러SOFR금리액티브(합성),해외,기타,,,,,,,,,,달러,,,,2,미래에셋자산운용
329750,TIGER 미국달러단기채권액티브,해외,채권,,달러선물,회사채,,,,,,,,,,,4,미래에셋자산운용
458750,TIGER 미국배당다우존스타겟커버드콜1호,해외,주식,,커버드콜,,,,,,,,,,,,2,미래에셋자산운용
458760,TIGER 미국배당다우존스타겟커버드콜2호,해외,주식,,커버드콜,,,,,,,,,,,,2,미래에셋자산운용
458730,TIGER 미국배당다우존스,해외,주식,대표지수,배당주,,,,,,,,,,,,2,미래에셋자산운용
465670,TIGER 미국캐시카우100,해외,주식,,,,,,,,,,,,,,2,미래에셋자산운용
381170,TIGER 미국테크TOP10 INDXX,해외,주식,,,,,,,,,,기술,,,,2,미래에셋자산운용
472160,TIGER 미국테크TOP10 INDXX(H),해외,주식,,,,,,,,,,기술,,,,2,미래에셋자산운용
474220,TIGER 미국테크TOP10타겟커버드콜,해외,주식,,,,,,,,,,기술,,,,2,미래에셋자산운용
472170,TIGER 미국테크TOP10채권혼합,국내&해외,혼합자산,,,,,,,,,,기술,국채,,,4,미래에셋자산운용
458260,TIGER 미국투자등급회사채액티브(H),해외,채권,,환헷지,회사채,,,,,,,,,,,4,미래에셋자산운용
381180,TIGER 미국필라델피아반도체나스닥,해외,주식,,,,,,,,,,반도체,,,,2,미래에셋자산운용
228810,TIGER 미디어컨텐츠,국내,주식,,,,,,,,,,미디어컨텐츠,,,,1,미래에셋자산운용
364970,TIGER 바이오TOP10,국내,주식,,,,,,,,,,바이오,,,,1,미래에셋자산운용
